"Ständige und nichtständige Wohnbevölkerung nach institutionellen Gliederungen, Geburtsort und Staatsangehörigkeit"

"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Bevölkerungstyp";"Geburtsort";"Nordmazedonien"
"2018";"......0741 Merzligen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0749 Studen (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";91
"2018";"......0751 Täuffelen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0754 Walperswil";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0755 Worben";"Ständige Wohnbevölkerung";"Geburtsort - Total";15
"2018";"......0321 Aarwangen";"Ständige Wohnbevölkerung";"Geburtsort - Total";27
"2018";"......0322 Auswil";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0323 Bannwil";"Ständige Wohnbevölkerung";"Geburtsort - Total";2
"2018";"......0324 Bleienbach";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0325 Busswil bei Melchnau";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0326 Gondiswil";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0329 Langenthal";"Ständige Wohnbevölkerung";"Geburtsort - Total";261
"2018";"......0331 Lotzwil";"Ständige Wohnbevölkerung";"Geburtsort - Total";42
"2018";"......0332 Madiswil";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0333 Melchnau";"Ständige Wohnbevölkerung";"Geburtsort - Total";18
"2018";"......0334 Obersteckholz";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0335 Oeschenbach";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0336 Reisiswil";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0337 Roggwil (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";17
"2018";"......0338 Rohrbach";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0339 Rohrbachgraben";"Ständige Wohnbevölkerung";"Geburtsort - Total";2
"2018";"......0340 Rütschelen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0341 Schwarzhäusern";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0342 Thunstetten";"Ständige Wohnbevölkerung";"Geburtsort - Total";36
"2018";"......0344 Ursenbach";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0345 Wynau";"Ständige Wohnbevölkerung";"Geburtsort - Total";13
"2018";"......0953 Eriswil";"Ständige Wohnbevölkerung";"Geburtsort - Total";3
"2018";"......0954 Huttwil";"Ständige Wohnbevölkerung";"Geburtsort - Total";14
"2018";"......0959 Walterswil (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0960 Wyssachen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0971 Attiswil";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0972 Berken";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0973 Bettenhausen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0975 Farnern";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0976 Graben";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0977 Heimenhausen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0979 Herzogenbuchsee";"Ständige Wohnbevölkerung";"Geburtsort - Total";188
"2018";"......0980 Inkwil";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0981 Niederbipp";"Ständige Wohnbevölkerung";"Geburtsort - Total";54
"2018";"......0982 Niederönz";"Ständige Wohnbevölkerung";"Geburtsort - Total";6
"2018";"......0983 Oberbipp";"Ständige Wohnbevölkerung";"Geburtsort - Total";14
"2018";"......0985 Ochlenberg";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0987 Rumisberg";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0988 Seeberg";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0989 Thörigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0990 Walliswil bei Niederbipp";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0991 Walliswil bei Wangen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0992 Wangen an der Aare";"Ständige Wohnbevölkerung";"Geburtsort - Total";14
"2018";"......0993 Wangenried";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0995 Wiedlisbach";"Ständige Wohnbevölkerung";"Geburtsort - Total";21
"2018";"......0996 Wolfisberg";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0401 Aefligen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0402 Alchenstorf";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0404 Burgdorf";"Ständige Wohnbevölkerung";"Geburtsort - Total";248
"2018";"......0405 Ersigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0406 Hasle bei Burgdorf";"Ständige Wohnbevölkerung";"Geburtsort - Total";12
"2018";"......0407 Heimiswil";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0408 Hellsau";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0409 Hindelbank";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0410 Höchstetten";"Ständige Wohnbevölkerung";"Geburtsort - Total";8
"2018";"......0411 Kernenried";"Ständige Wohnbevölkerung";"Geburtsort - Total";6
"2018";"......0412 Kirchberg (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";116
"2018";"......0413 Koppigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";9
"2018";"......0414 Krauchthal";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0415 Lyssach";"Ständige Wohnbevölkerung";"Geburtsort - Total";11
"2018";"......0416 Mötschwil";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0418 Oberburg";"Ständige Wohnbevölkerung";"Geburtsort - Total";45
"2018";"......0420 Rüdtligen-Alchenflüh";"Ständige Wohnbevölkerung";"Geburtsort - Total";70
"2018";"......0421 Rumendingen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0422 Rüti bei Lyssach";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0423 Willadingen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0424 Wynigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0533 Bätterkinden";"Ständige Wohnbevölkerung";"Geburtsort - Total";8
"2018";"......0552 Utzenstorf";"Ständige Wohnbevölkerung";"Geburtsort - Total";18
"2018";"......0554 Wiler bei Utzenstorf";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0556 Zielebach";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0901 Eggiwil";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0902 Langnau im Emmental";"Ständige Wohnbevölkerung";"Geburtsort - Total";19
"2018";"......0903 Lauperswil";"Ständige Wohnbevölkerung";"Geburtsort - Total";5
"2018";"......0904 Röthenbach im Emmental";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0905 Rüderswil";"Ständige Wohnbevölkerung";"Geburtsort - Total";2
"2018";"......0906 Schangnau";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0907 Signau";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0908 Trub";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0909 Trubschachen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0951 Affoltern im Emmental";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0952 Dürrenroth";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0955 Lützelflüh";"Ständige Wohnbevölkerung";"Geburtsort - Total";3
"2018";"......0956 Rüegsau";"Ständige Wohnbevölkerung";"Geburtsort - Total";2
"2018";"......0957 Sumiswald";"Ständige Wohnbevölkerung";"Geburtsort - Total";25
"2018";"......0958 Trachselwald";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0307 Meikirch";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0351 Bern";"Ständige Wohnbevölkerung";"Geburtsort - Total";1237
"2018";"......0352 Bolligen";"Ständige Wohnbevölkerung";"Geburtsort - Total";4
"2018";"......0353 Bremgarten bei Bern";"Ständige Wohnbevölkerung";"Geburtsort - Total";3
"2018";"......0354 Kirchlindach";"Ständige Wohnbevölkerung";"Geburtsort - Total";2
"2018";"......0355 Köniz";"Ständige Wohnbevölkerung";"Geburtsort - Total";228
"2018";"......0356 Muri bei Bern";"Ständige Wohnbevölkerung";"Geburtsort - Total";17
"2018";"......0357 Oberbalm";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0358 Stettlen";"Ständige Wohnbevölkerung";"Geburtsort - Total";41
"2018";"......0359 Vechigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";21
"2018";"......0360 Wohlen bei Bern";"Ständige Wohnbevölkerung";"Geburtsort - Total";27
"2018";"......0361 Zollikofen";"Ständige Wohnbevölkerung";"Geburtsort - Total";155
"2018";"......0362 Ittigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";60
"2018";"......0363 Ostermundigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";179
"2018";"......0403 Bäriswil";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0535 Deisswil bei Münchenbuchsee";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0536 Diemerswil";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0538 Fraubrunnen";"Ständige Wohnbevölkerung";"Geburtsort - Total";9
"2018";"......0540 Jegenstorf";"Ständige Wohnbevölkerung";"Geburtsort - Total";38
"2018";"......0541 Iffwil";"Ständige Wohnbevölkerung";"Geburtsort - Total";4
"2018";"......0543 Mattstetten";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0544 Moosseedorf";"Ständige Wohnbevölkerung";"Geburtsort - Total";42
"2018";"......0546 Münchenbuchsee";"Ständige Wohnbevölkerung";"Geburtsort - Total";153
"2018";"......0551 Urtenen-Schönbühl";"Ständige Wohnbevölkerung";"Geburtsort - Total";54
"2018";"......0553 Wiggiswil";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0557 Zuzwil (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0602 Arni (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0603 Biglen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0605 Bowil";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0606 Brenzikofen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0607 Freimettigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0608 Grosshöchstetten";"Ständige Wohnbevölkerung";"Geburtsort - Total";4
"2018";"......0609 Häutligen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0610 Herbligen";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0611 Kiesen";"Ständige Wohnbevölkerung";"Geburtsort - Total";2
"2018";"......0612 Konolfingen";"Ständige Wohnbevölkerung";"Geburtsort - Total";33
"2018";"......0613 Landiswil";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0614 Linden";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0615 Mirchel";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0616 Münsingen";"Ständige Wohnbevölkerung";"Geburtsort - Total";175
"2018";"......0617 Niederhünigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0619 Oberdiessbach";"Ständige Wohnbevölkerung";"Geburtsort - Total";21
"2018";"......0620 Oberthal";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0622 Oppligen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0623 Rubigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0626 Walkringen";"Ständige Wohnbevölkerung";"Geburtsort - Total";2
"2018";"......0627 Worb";"Ständige Wohnbevölkerung";"Geburtsort - Total";24
"2018";"......0628 Zäziwil";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0629 Oberhünigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0630 Allmendingen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0632 Wichtrach";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0661 Clavaleyres";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0662 Ferenbalm";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0663 Frauenkappelen";"Ständige Wohnbevölkerung";"Geburtsort - Total";3
"2018";"......0664 Golaten";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0665 Gurbrü";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0666 Kriechenwil";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0667 Laupen";"Ständige Wohnbevölkerung";"Geburtsort - Total";39
"2018";"......0668 Mühleberg";"Ständige Wohnbevölkerung";"Geburtsort - Total";8
"2018";"......0669 Münchenwiler";"Ständige Wohnbevölkerung";"Geburtsort - Total";7
"2018";"......0670 Neuenegg";"Ständige Wohnbevölkerung";"Geburtsort - Total";49
"2018";"......0671 Wileroltigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0852 Guggisberg";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0853 Rüschegg";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0855 Schwarzenburg";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0861 Belp";"Ständige Wohnbevölkerung";"Geburtsort - Total";79
"2018";"......0866 Gerzensee";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0868 Jaberg";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0869 Kaufdorf";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0870 Kehrsatz";"Ständige Wohnbevölkerung";"Geburtsort - Total";22
"2018";"......0872 Kirchdorf (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0873 Kirchenthurnen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0874 Lohnstorf";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0876 Mühlethurnen";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0877 Niedermuhlern";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0879 Riggisberg";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0880 Rüeggisberg";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0881 Rümligen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0884 Toffen";"Ständige Wohnbevölkerung";"Geburtsort - Total";15
"2018";"......0888 Wald (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";">> Verwaltungskreis Thun";"Ständige Wohnbevölkerung";"Geburtsort - Total";495
"2018";"......0767 Reutigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";2
"2018";"......0770 Stocken-Höfen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0863 Burgistein";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0867 Gurzelen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0883 Seftigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";3
"2018";"......0885 Uttigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";4
"2018";"......0886 Wattenwil";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0921 Amsoldingen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0922 Blumenstein";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0923 Buchholterberg";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0924 Eriz";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0925 Fahrni";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0927 Heiligenschwendi";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0928 Heimberg";"Ständige Wohnbevölkerung";"Geburtsort - Total";23
"2018";"......0929 Hilterfingen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0931 Homberg";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0932 Horrenbach-Buchen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0934 Oberhofen am Thunersee";"Ständige Wohnbevölkerung";"Geburtsort - Total";7
"2018";"......0935 Oberlangenegg";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0936 Pohlern";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0937 Schwendibach";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0938 Sigriswil";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0939 Steffisburg";"Ständige Wohnbevölkerung";"Geburtsort - Total";91
"2018";"......0940 Teuffenthal (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0941 Thierachern";"Ständige Wohnbevölkerung";"Geburtsort - Total";5
"2018";"......0942 Thun";"Ständige Wohnbevölkerung";"Geburtsort - Total";348
"2018";"......0943 Uebeschi";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0944 Uetendorf";"Ständige Wohnbevölkerung";"Geburtsort - Total";11
"2018";"......0945 Unterlangenegg";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0946 Wachseldorn";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0947 Zwieselberg";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0948 Forst-Längenbühl";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
