objekt_id,kategorie,objekt_strasse,objekt_ort,plz,zimmer,nutzflaeche,nettomiete,nebenkosten,bruttomiete
5232552,Wohnung,Felshaldenweg 23,Bern,3004,2,NULL,1220,170,1390
5263085,Wohnung,Obereyfeldweg 33,Ittigen,3063,3,NULL,1190,170,1360
5365930,Wohnung,Tscharnerstrasse 43,Bern,3007,3,65,1555,145,1700
5374601,Wohnung,Blockweg 8,Bern,3007,4.5,98,2030,270,2300
5409409,Wohnung,Dennigkofenweg 77,Gümligen,3073,4.5,NULL,1700,250,1950
5490746,Wohnung,Egelgasse 70 / 70a,Bern,3006,3.5,60,1315,200,1515
5655005,Wohnung,Schlossstrasse 115,Bern,3008,2,45,890,150,1040
5661845,Wohnung,NULL,Bern,3006,4.5,130,1800,NULL,1800
5721081,Wohnung,Rörswilstrasse 62,Bolligen,3065,4.5,NULL,1720,250,1970
5754834,Wohnung,Im Gerbelacker 2,Ittigen,3063,4.5,NULL,1680,300,1980
5793096,Wohnung,Seminarstrasse 11,Bern,3006,4.5,110,2500,300,2800
5805660,Wohnung,Schwarztorstrasse 25,Bern,3007,1,40,1120,130,1250
5820143,Wohnung,Thunstrasse 93,Bern,3006,2.5,60,1400,150,1550
5850512,Wohnung,Hilfikerstrasse 2,Bern,3014,5,85,2994,256,3250
5910495,Wohnung,Brünnenstrasse 113,Bern,3018,1,28,1100,100,1200
5937766,Wohnung,Europaplatz 1,Bern,3008,2.5,60,1770,200,1970
5971909,Wohnung,Felshaldenweg 33,Bern,3004,2.5,NULL,1100,110,1210
5972897,Wohnung,Hilfikerstrasse 4,Bern,3014,2.5,55,1590,160,1750
5974082,Wohnung,Europaplatz 1,Bern,3008,2.5,69,1696,220,1916
5983561,Wohnung,Jolimontstrasse 19,Bern,3006,3.5,65,1700,200,1900
5984884,Wohnung,Europaplatz 1,Bern,3008,2.5,73,1550,215,1765
6006737,Wohnung,Europaplatz 1,Bern,3008,2.5,61,1810,200,2010
6042991,Wohnung,Europaplatz 1,Bern,3008,2.5,59,1800,220,2020
6065707,Wohnung,Lutertalstrasse 49-55,Bolligen,3065,3.5,104,1900,300,2200
6073886,Wohnung,Belpstrasse 67,Bern,3007,2.5,NULL,1650,140,1790
6075474,Wohnung,Egelgasse 70 / 70a,Bern,3006,3.5,60,1315,200,1515
6078658,Wohnung,Reichenbachstrasse 11,Bern,3004,3.5,62,1280,210,1490
6079458,Wohnung,Europaplatz 1,Bern,3008,3.5,91,2025,265,2290
6087299,Wohnung,Lutertalstrasse 49-55,Bolligen,3065,4.5,127,2190,350,2540
6088034,Wohnung,Dählhölzliweg 3,Bern,3005,2.5,119,1850,220,2070
6106231,Wohnung,Thunstrasse 93,Bern,3006,3.5,60,1560,200,1760
6132322,Wohnung,Alemannenstrasse 40,Bern,3018,3.5,80,1350,240,1590
6132328,Wohnung,Alemannenstrasse 44,Bern,3018,3.5,87,1390,240,1630
6132330,Wohnung,Alemannenstrasse 44,Bern,3018,3.5,87,1390,240,1630
6155597,Wohnung,Im Gerbelacker 12,Ittigen,3063,4.5,NULL,1680,300,1980
6158972,Wohnung,Obereyfeldweg 33,Ittigen,3063,3,NULL,NULL,NULL,1360
6169180,Wohnung,Europaplatz 1,Bern,3008,2.5,63,1580,200,1780
6180920,Wohnung,Europaplatz 1,Bern,3008,2.5,61,1680,220,1900
6184158,Wohnung,Winterholzstrasse 55,Bern,3018,1,183,2700,300,3000
6185044,Wohnung,Kistlerstrasse 16,Bolligen,3065,3.5,NULL,1700,290,1990
6187786,Wohnung,Sonnenhofweg 7,Bern,3006,2,50,1475,125,1600
6194121,Wohnung,Untereyfeldweg 1,Ittigen,3063,3.5,78,1395,200,1595
6194974,Wohnung,Kistlerstrasse 43,Bolligen,3065,6.5,NULL,1980,500,2480
6194976,Wohnung,Stöckackerstrasse 101,Bern,3018,3,57,1260,200,1460
6203601,Wohnung,Freiburgstrasse 123B,Bern,3008,3.5,NULL,1325,252,1577
6213871,Wohnung,Hühnerbühlstrasse 4,Bolligen,3065,5.5,137,1850,270,2120
6220761,Wohnung,Mittelweg 17,Ittigen,3063,2.5,NULL,NULL,NULL,1610
6228306,Wohnung,Bienenstrasse 2,Bern,3018,3.5,60,1180,230,1410
6235821,Wohnung,Kirschenackerweg 24,Ittigen,3063,4,96,2040,300,2340
6239133,Wohnung,Ostring 56,Bern,3006,2,65,1100,220,1320
